cricketer_id,cricket_team,player_name,bowling_style,batting_style,role,role_detail,class_band,base_price,country,ipl_team,ipl_type,player_status,ipl_active,t20_wc_active,odi_wc_active,wpl_active,wodi_wc_active,wt20_wc_active,champions_active
C101,Afghanistan,Hashmatullah Shahidi,—,Left,Batsman,Batsman,Stone,0,Afghanistan,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C102,Afghanistan,Fareed Ahmad,Left-arm fast-medium,Right,Bowler,Bowler,Stone,0,Afghanistan,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C103,Afghanistan,Noor Ahmad,Left-arm wrist spin,Right,Bowler,Bowler,Copper,40,Afghanistan,Chennai Super Kings,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C104,Afghanistan,Ikram Alikhil,—,Left,Wicket Keeper,Wicket Keeper,Stone,0,Afghanistan,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C105,Afghanistan,Sediqullah Atal,Right-arm offbreak,Left,Batsman,Batsman,Bronze,20,Afghanistan,Delhi Capitals,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C106,Afghanistan,Fazalhaq Farooqi,Left-arm fast-medium,Right,Bowler,Bowler,Bronze,20,Afghanistan,Rajasthan Royals,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C107,Afghanistan,Rahmanullah Gurbaz,—,Right,Wicket Keeper,Wicket Keeper,Bronze,20,Afghanistan,Kolkata Knight Riders,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C108,Afghanistan,Rashid Khan,Right-arm legbreak (googly),Right,All-rounder,All-rounder,Gold,80,Afghanistan,Gujarat Titans,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C109,Afghanistan,Nangialai Kharoti,Left-arm orthodox spin,Left,All-rounder,All-rounder,Stone,0,Afghanistan,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C110,Afghanistan,Mohammad Nabi,Right-arm offbreak,Right,All-rounder,All-rounder,Stone,0,Afghanistan,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C111,Afghanistan,Gulbadin Naib,Right-arm medium-fast,Right,All-rounder,All-rounder,Silver,60,Afghanistan,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C112,Afghanistan,Azmatullah Omarzai,Right-arm medium-fast,Right,All-rounder,All-rounder,Bronze,20,Afghanistan,Punjab Kings,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C113,Afghanistan,Rahmat Shah,Legbreak,Right,Batsman,Batsman,Silver,60,Afghanistan,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C114,Afghanistan,Ibrahim Zadran,Right-arm medium-fast,Right,Batsman,Batsman,Stone,0,Afghanistan,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C115,Afghanistan,Naveed Zadran,Left-arm fast-medium,Right,Bowler,Bowler,Stone,0,Afghanistan,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C116,Afghanistan,Mujeeb-ur-Rahman,Right-arm offbreak,Right,Bowler,Bowler,Bronze,20,Afghanistan,Mumbai Indians,Overseas,Retired,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
C117,Afghanistan,Karim Janat,Right-arm medium-fast,Right,All-rounder,All-rounder,Bronze,20,Afghanistan,Gujarat Titans,Overseas,Retired,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
C201,Australia,Steve Smith,Right-arm legbreak,Right,Batsman,Batsman,Stone,0,Australia,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C202,Australia,Sean Abbott,Right-arm medium-fast,Right,All-rounder,All-rounder,Stone,0,Australia,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C203,Australia,Alex Carey,—,Left,Wicket Keeper,Wicket Keeper,Silver,60,Australia,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C204,Australia,Ben Dwarshuis,Left-arm fast-medium,Left,Bowler,Bowler,Stone,0,Australia,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C205,Australia,Nathan Ellis,Right-arm fast-medium,Right,Bowler,Bowler,Bronze,20,Australia,Chennai Super Kings,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C206,Australia,Jake Fraser-McGurk,—,Right,Batsman,Batsman,Copper,40,Australia,Delhi Capitals,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C207,Australia,Aaron Hardie,Right-arm medium-fast,Right,All-rounder,All-rounder,Bronze,20,Australia,Punjab Kings,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C208,Australia,Travis Head,Right-arm offbreak,Left,Batsman,Batsman,Gold,80,Australia,Sunrisers Hyderabad,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C209,Australia,Josh Inglis,—,Right,Wicket Keeper,Wicket Keeper,Copper,40,Australia,Punjab Kings,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C210,Australia,Spencer Johnson,Left-arm fast,Left,Bowler,Bowler,Bronze,20,Australia,Kolkata Knight Riders,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C211,Australia,Marnus Labuschagne,Legbreak,Right,Batsman,Batsman,Stone,0,Australia,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C212,Australia,Glenn Maxwell,Right-arm offbreak,Right,All-rounder,All-rounder,Gold,80,Australia,Punjab Kings,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C213,Australia,Tanveer Sangha,Right-arm legbreak,Right,Bowler,Bowler,Silver,60,Australia,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C214,Australia,Matthew Short,Right-arm offbreak,Right,All-rounder,All-rounder,Stone,0,Australia,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C215,Australia,Adam Zampa,Right-arm legbreak,Right,Bowler,Bowler,Copper,40,Australia,Sunrisers Hyderabad,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C216,Australia,Pat Cummins,Right-arm fast,Right,All-rounder,All-rounder / Bowling,Platinum,100,Australia,Sunrisers Hyderabad,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C217,Australia,Josh Hazlewood,Right-arm fast-medium,Right,Bowler,Bowler,Gold,80,Australia,Royal Challengers Bengaluru,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C218,Australia,Mitchell Starc,Left-arm fast,Left,Bowler,Bowler,Gold,80,Australia,Delhi Capitals,Overseas,Retired,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
C219,Australia,Marcus Stoinis,Right-arm fast-medium,Right,All-rounder,All-rounder,Gold,80,Australia,Punjab Kings,Overseas,Retired,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
C220,Australia,Mitchell Marsh,Right-arm medium-fast,Right,All-rounder,All-rounder,Copper,40,Australia,Lucknow Super Giants,Overseas,Retired,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
C221,Australia,Tim David,Right-arm offbreak,Right,Batsman,Batsman,Copper,40,Australia,Royal Challengers Bengaluru,Overseas,Retired,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
C222,Australia,Xavier Bartlett,Right-arm fast-medium,Right,Bowler,Bowler / Fast,Bronze,20,Australia,Punjab Kings,Overseas,Retired,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
C223,Australia,Mitch Owen,Right-arm medium-fast,Right,All-rounder,All-rounder,Bronze,20,Australia,Punjab Kings,Overseas,Retired,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
C301,Bangladesh,Najmul Hossain Shanto,Right-arm offbreak,Left,Batsman,Batsman,Stone,0,Bangladesh,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C302,Bangladesh,Nasum Ahmed,Slow left-arm orthodox,Left,Bowler,Bowler,Stone,0,Bangladesh,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C303,Bangladesh,Taskin Ahmed,Right-arm fast,Left,Bowler,Bowler,Stone,0,Bangladesh,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C304,Bangladesh,Jaker Ali,—,Right,Wicket Keeper,Wicket Keeper,Stone,0,Bangladesh,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C305,Bangladesh,Parvez Hossain Emon,—,Left,Wicket Keeper,Wicket Keeper,Stone,0,Bangladesh,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C306,Bangladesh,Tanzid Hasan,—,Left,Batsman,Batsman,Stone,0,Bangladesh,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C307,Bangladesh,Rishad Hossain,Legbreak,Right,All-rounder,All-rounder,Stone,0,Bangladesh,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C308,Bangladesh,Towhid Hridoy,Right-arm offbreak,Right,Batsman,Batsman,Silver,60,Bangladesh,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C309,Bangladesh,Mahmudullah,Right-arm offbreak,Right,All-rounder,All-rounder,Stone,0,Bangladesh,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C310,Bangladesh,Mehidy Hasan Miraz,Right-arm offbreak,Right,All-rounder,All-rounder,Silver,60,Bangladesh,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C311,Bangladesh,Mushfiqur Rahim,—,Right,Wicket Keeper,Wicket Keeper,Silver,60,Bangladesh,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C312,Bangladesh,Mustafizur Rahman,Left-arm fast-medium,Left,Bowler,Bowler,Bronze,20,Bangladesh,Delhi Capitals,Overseas,Active,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C313,Bangladesh,Nahid Rana,Right-arm fast,Right,Bowler,Bowler,Stone,0,Bangladesh,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C314,Bangladesh,Tanzim Hasan Sakib,Right-arm medium-fast,Right,Bowler,Bowler,Stone,0,Bangladesh,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
C315,Bangladesh,Soumya Sarkar,Right-arm medium,Left,All-rounder,All-rounder,Silver,60,Bangladesh,Non IPL Player,Overseas,Active,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
